DATE,LRUN64TTUSM156S
1991-08-01,6.93427860539208
1991-09-01,6.95822316335228
1991-10-01,7.08312860300746
1991-11-01,7.15044937432397
1991-12-01,7.41078873345221
1992-01-01,7.36002803616632
1992-02-01,7.60066244337318
1992-03-01,7.55706344528196
1992-04-01,7.46338332709966
1992-05-01,7.67588936995115
1992-06-01,7.8344672463924
1992-07-01,7.68827100517146
1992-08-01,7.7215302508006
1992-09-01,7.72934976055437
1992-10-01,7.49457823969006
1992-11-01,7.57921997639215
1992-12-01,7.59330671579754
1993-01-01,7.30461884287261
1993-02-01,7.2755763727063
1993-03-01,7.15691911611822
1993-04-01,7.2041301571884
1993-05-01,7.18398837869542
1993-06-01,7.12034399855957
1993-07-01,6.98439499411273
1993-08-01,6.88801591530952
1993-09-01,6.83305092092036
1993-10-01,6.97366596607442
1993-11-01,6.69967078315404
1993-12-01,6.61441726688453
1994-01-01,6.68721421957395
1994-02-01,6.63286429120926
1994-03-01,6.6086258772572
1994-04-01,6.45821277523174
1994-05-01,6.12956558420465
1994-06-01,6.11297791137842
1994-07-01,6.11593239799751
1994-08-01,6.11037687665437
1994-09-01,5.9351266020899
1994-10-01,5.86410383347973
1994-11-01,5.64059819024612
1994-12-01,5.50973264844382
1995-01-01,5.62733775692555
1995-02-01,5.45546029237865
1995-03-01,5.49723111259219
1995-04-01,5.82988871601092
1995-05-01,5.69325944811411
1995-06-01,5.65094680981711
1995-07-01,5.72959975145116
1995-08-01,5.7257934399165
1995-09-01,5.68184872931824
1995-10-01,5.59802224892802
1995-11-01,5.64182906640855
1995-12-01,5.6258096980387
1996-01-01,5.70706850252158
1996-02-01,5.54176833601231
1996-03-01,5.59691189300033
1996-04-01,5.5910488296419
1996-05-01,5.61091201244786
1996-06-01,5.33773798286528
1996-07-01,5.52228788700611
1996-08-01,5.20552520932234
1996-09-01,5.26210360582824
1996-10-01,5.27438845650105
1996-11-01,5.40756755081916
1996-12-01,5.36560586823748
1997-01-01,5.36624124082132
1997-02-01,5.3024574274655
1997-03-01,5.2511826193281
1997-04-01,5.08007268234878
1997-05-01,4.94202355296952
1997-06-01,5.03031232860808
1997-07-01,4.91731566348653
1997-08-01,4.88463109524752
1997-09-01,4.92665868040747
1997-10-01,4.76401693524441
1997-11-01,4.63573235962839
1997-12-01,4.71769924484632
1998-01-01,4.7460676551726
1998-02-01,4.66729318210476
1998-03-01,4.78258199399003
1998-04-01,4.33694416888237
1998-05-01,4.42228994449633
1998-06-01,4.58110350825599
1998-07-01,4.57577386419006
1998-08-01,4.53759303254984
1998-09-01,4.6012028251
1998-10-01,4.55892729826645
1998-11-01,4.39974767413302
1998-12-01,4.32049833437474
1999-01-01,4.35761464597236
1999-02-01,4.42639037210191
1999-03-01,4.25937595707642
1999-04-01,4.32477941913533
1999-05-01,4.17844609443749
1999-06-01,4.30171443184528
1999-07-01,4.32921005505792
1999-08-01,4.21818230435749
1999-09-01,4.26180352742597
1999-10-01,4.16127599929313
1999-11-01,4.10082045664352
1999-12-01,4.04669450814427
2000-01-01,4.07132843212369
2000-02-01,4.11319276139512
2000-03-01,4.09602828426208
2000-04-01,3.85091694850559
2000-05-01,4.04373384822412
2000-06-01,4.00997455272718
2000-07-01,4.05807458787574
2000-08-01,4.15233123666219
2000-09-01,3.95462403088762
2000-10-01,3.91684815114098
2000-11-01,3.97868430485538
2000-12-01,3.94630113037701
2001-01-01,4.25720862917002
2001-02-01,4.26649684008373
2001-03-01,4.36472503078036
2001-04-01,4.43853771159867
2001-05-01,4.3944298631789
2001-06-01,4.59372431144277
2001-07-01,4.60380027364538
2001-08-01,4.97830445013499
2001-09-01,5.00537082593882
2001-10-01,5.40885537884521
2001-11-01,5.60477170923996
2001-12-01,5.75520791448814
2002-01-01,5.7880975719952
2002-02-01,5.74012249822154
2002-03-01,5.88243682863185
2002-04-01,6.02224260883411
2002-05-01,5.83735416089753
2002-06-01,5.8415792290254
2002-07-01,5.82308404507278
2002-08-01,5.79858657596488
2002-09-01,5.69708221037274
2002-10-01,5.78237520070376
2002-11-01,5.99455530153804
2002-12-01,6.0273130264193
2003-01-01,5.92634211467752
2003-02-01,5.9565304357709
2003-03-01,5.98048932341194
2003-04-01,6.14149591307524
2003-05-01,6.15724701225599
2003-06-01,6.33806570577157
2003-07-01,6.16969950459508
2003-08-01,6.11532644005098
2003-09-01,6.13912536041617
2003-10-01,6.05628114562692
2003-11-01,5.9604867134692
2003-12-01,5.78308038403865
2004-01-01,5.79915714621479
2004-02-01,5.66461517597933
2004-03-01,5.85796802618726
2004-04-01,5.65261860493592
2004-05-01,5.63195938217042
2004-06-01,5.64124380806482
2004-07-01,5.5547786042972
2004-08-01,5.44795811302054
2004-09-01,5.43145437549145
2004-10-01,5.51536320061586
2004-11-01,5.45952804653924
2004-12-01,5.45942730480385
2005-01-01,5.3062536184262
2005-02-01,5.43073027295996
2005-03-01,5.26165026336388
2005-04-01,5.23389029821918
2005-05-01,5.19024301380405
2005-06-01,5.08757123222618
2005-07-01,5.02687432753141
2005-08-01,4.9506888842879
2005-09-01,5.10120602551343
2005-10-01,4.98679113268966
2005-11-01,5.13178285223663
2005-12-01,4.93521139105929
2006-01-01,4.75112612239529
2006-02-01,4.86647995552155
2006-03-01,4.75391230055106
2006-04-01,4.81202773556445
2006-05-01,4.70590257759373
2006-06-01,4.69901086749368
2006-07-01,4.80455238405019
2006-08-01,4.69407443403629
2006-09-01,4.59655754049853
2006-10-01,4.44613641694669
2006-11-01,4.56405564350396
2006-12-01,4.52251044370944
2007-01-01,4.66774105142903
2007-02-01,4.60898521317058
2007-03-01,4.44819557163619
2007-04-01,4.5667986378303
2007-05-01,4.49889947966425
2007-06-01,4.60834429271333
2007-07-01,4.69138984229044
2007-08-01,4.66662471693439
2007-09-01,4.78132975082186
2007-10-01,4.75933806995069
2007-11-01,4.76680909217879
2007-12-01,5.04921496244451
2008-01-01,4.99195639146525
2008-02-01,4.92698337590759
2008-03-01,5.11141978011482
2008-04-01,5.0609943599643
2008-05-01,5.53492897340192
2008-06-01,5.62888457456832
2008-07-01,5.87951606704538
2008-08-01,6.15601518612387
2008-09-01,6.2755499580967
2008-10-01,6.59374853743418
2008-11-01,6.90445942439811
2008-12-01,7.46559984747076
2009-01-01,7.91796484520245
2009-02-01,8.40734097740668
2009-03-01,8.84394946923966
2009-04-01,9.14196171106933
2009-05-01,9.5078940106451
2009-06-01,9.50979128851927
2009-07-01,9.51018080501163
2009-08-01,9.71245969684644
2009-09-01,9.97775248938084
2009-10-01,10.1645633773423
2009-11-01,10.0106986296424
2009-12-01,10.0833879525354
2010-01-01,9.89095177265583
2010-02-01,9.9138733666269
2010-03-01,10.0365647311466
2010-04-01,10.1371215422923
2010-05-01,9.85198714927131
2010-06-01,9.51235310493964
2010-07-01,9.50681866372051
2010-08-01,9.62115574374808
2010-09-01,9.67284458987807
2010-10-01,9.6674161642823
2010-11-01,9.86560317468858
2010-12-01,9.56488701854046
2011-01-01,9.22455495699392
2011-02-01,9.14512429651484
2011-03-01,9.09223399797281
2011-04-01,9.26225737147301
2011-05-01,9.20102703785158
2011-06-01,9.16233604969737
2011-07-01,9.0498944097143
2011-08-01,9.09849467138842
2011-09-01,9.17724468761699
2011-10-01,9.00724536275986
2011-11-01,8.70703510955205
2011-12-01,8.69872124208784
2012-01-01,8.3510800886782
2012-02-01,8.37219545677254
2012-03-01,8.31161106407593
2012-04-01,8.29063411841532
2012-05-01,8.30719721948409
2012-06-01,8.21391313317379
2012-07-01,8.23212915699355
2012-08-01,8.15434604874888
2012-09-01,7.91453809590956
2012-10-01,7.99965913132555
2012-11-01,7.83978084332134
2012-12-01,8.06290256818488
2013-01-01,8.01960698121221
2013-02-01,7.76346403502071
2013-03-01,7.57599005506773
2013-04-01,7.66207121846953
2013-05-01,7.70360473512627
2013-06-01,7.65637835823208
2013-07-01,7.46799206700471
2013-08-01,7.37734473247145
2013-09-01,7.3554132296802
2013-10-01,7.39042271871502
2013-11-01,7.07604393111174
2013-12-01,6.8335930829151
2014-01-01,6.64693373732971
2014-02-01,6.77598282892154
2014-03-01,6.76816522412707
2014-04-01,6.32429304153873
2014-05-01,6.39398346724054
2014-06-01,6.17567758041822
2014-07-01,6.28682260227525
2014-08-01,6.17341954334111
2014-09-01,6.02696295492748
2014-10-01,5.87589991178135
2014-11-01,5.87429288161046
2014-12-01,5.67980758709266
2015-01-01,5.74334762782215
2015-02-01,5.55659277465016
2015-03-01,5.54076023364465
2015-04-01,5.51479375253451
2015-05-01,5.67555420702532
2015-06-01,5.35169871694128
2015-07-01,5.34919017133775
2015-08-01,5.14268211375502
2015-09-01,5.07284630718759
2015-10-01,5.16713751682236
2015-11-01,5.15253034363568
2015-12-01,5.10377051886582
2016-01-01,4.95623946129968
2016-02-01,4.98729104867431
2016-03-01,5.09288920703033
2016-04-01,5.09193794120502
2016-05-01,4.88467576588439
2016-06-01,4.95902555099598
2016-07-01,4.90653625165361
2016-08-01,4.93410000679639
2016-09-01,5.01959026177413
2016-10-01,4.95065739555283
2016-11-01,4.7298864267078
2016-12-01,4.75062856476293
2017-01-01,4.81704317034769
2017-02-01,4.68033266581659
2017-03-01,4.48058853993001
2017-04-01,4.42109293405194
2017-05-01,4.40070008292264
2017-06-01,4.37133724655908
2017-07-01,4.42032146018725
2017-08-01,4.46887651992354
2017-09-01,4.26115752567972
2017-10-01,4.12359034855286
2017-11-01,4.19484991637866
2017-12-01,4.14716305844966
2018-01-01,4.19215573532079
2018-02-01,4.17967893630725
2018-03-01,4.0885553923924
2018-04-01,4.01280284671164
2018-05-01,3.82551192220264
2018-06-01,4.05165244927405
2018-07-01,3.89093914519463
