"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"369454 (2010 NZ1)","2010-07-09","19.4","0.275","0.49","2.26","1.61","32.78","N","Apollo"
"513550 (2010 NG3)","2010-07-08","17.2","0.123","1.13","4.08","4.2","26.97","N","Amor"
"(2010 NU1)","2010-07-06","21.2","0.335","0.48","4.24","3.63","34.45","N","Apollo"
"337P/WISE","2010-07-05","n/a","0.645","1.65","4.93","5.97","15.4","n/a","Jupiter-family Comet"
"482111 (2010 NT1)","2010-07-04","19.5","0.206","1.14","1.78","1.76","39.52","N","Amor"
"365449 (2010 NJ1)","2010-07-03","20.2","0.155","0.44","1.49","0.95","11.22","N","Aten"
"(2010 NG1)","2010-07-02","20.4","0.082","0.57","1.13","0.78","24.74","N","Aten"
"(2010 MU112)","2010-06-30","20.7","0.001","0.81","2.7","2.33","48.03","Y","Apollo"
"(2010 MA113)","2010-06-25","19.2","0.081","0.89","3.68","3.46","39.85","N","Apollo"
"(2010 MZ112)","2010-06-23","19.8","0.221","0.49","3.06","2.36","30.18","N","Apollo"
"(2010 MY112)","2010-06-23","21","0.156","0.8","1.33","1.1","38.49","N","Apollo"
"(2010 MU111)","2010-06-23","18.7","0.062","0.92","3.86","3.7","41.55","N","Apollo"
"499496 (2010 MR87)","2010-06-22","19.4","0.15","1.06","2.41","2.28","34.99","N","Amor"
"(2010 LU108)","2010-06-15","20","0.126","0.41","4.07","3.35","9.5","N","Apollo"
"C/2010 L4 (WISE)","2010-06-15","n/a","2.53","2.83","157.36","716.78","102.82","n/a","Comet"
"(2010 LU134)","2010-06-14","19.6","0.145","0.86","2.93","2.61","27.36","N","Apollo"
"(2010 LV108)","2010-06-14","22.6","0.02","0.96","4.53","4.54","4.4","N","Apollo"
"C/2010 L5 (WISE)","2010-06-14","n/a","0.114","0.79","15.64","23.56","147.05","n/a","Halley-type Comet*"
"(2010 LT108)","2010-06-13","19.7","0.138","0.85","1.85","1.57","31.87","N","Apollo"
"(2010 LO97)","2010-06-13","18.7","0.224","1.22","3.94","4.14","21.7","N","Amor"
"(2010 LL68)","2010-06-12","22.9","0.139","0.98","3.16","2.98","10.49","N","Apollo"
"(2010 LK68)","2010-06-12","22.5","0.026","0.62","1.71","1.26","21.83","N","Apollo"
"(2010 LF86)","2010-06-11","17.2","0.316","1.3","3.51","3.73","13.55","N","Amor"
"(2010 LJ68)","2010-06-11","22.7","0.027","0.97","2.46","2.24","16.69","N","Apollo"
"441952 (2010 LR68)","2010-06-08","18.3","0.234","1.21","4.91","5.36","4.6","N","Amor"
"(2010 LJ61)","2010-06-08","20.9","0.053","0.57","1.57","1.1","10.13","N","Apollo"
"386847 (2010 LR33)","2010-06-06","18","0.029","0.91","2.47","2.2","5.83","Y","Apollo"
"(2010 LG64)","2010-06-05","20.2","0.059","1.06","4.3","4.39","42.11","N","Amor"
"(2010 LQ33)","2010-06-04","19.4","0.226","1.23","3.31","3.42","24.64","N","Amor"
"398188 Agni","2010-06-03","19.5","0.022","0.63","1.1","0.8","13.25","Y","Aten"
"(2010 LF64)","2010-06-03","21.6","0.192","1.13","1.59","1.59","18.54","N","Amor"
"(2010 LM14)","2010-06-02","21.2","0.314","0.69","1.53","1.17","25.92","N","Apollo"
"(2010 LH14)","2010-06-02","22","0.055","0.94","3.46","3.26","4.66","N","Apollo"
"245P/WISE","2010-06-02","n/a","1.175","2.14","5.88","8.04","21.09","n/a","Jupiter-family Comet"
"(2010 KY127)","2010-05-31","17","0.709","0.29","4.69","3.93","60.74","N","Apollo"
"317P/WISE","2010-05-27","n/a","0.198","1.19","4.67","5.01","10.82","n/a","Jupiter-family Comet"
"(2010 KB61)","2010-05-26","20.5","0.05","0.98","1.57","1.44","44.6","N","Apollo"
